id,ts,power3
112,2019-01-05 12:00:00+00:00,122.62347775
113,2019-01-05 13:00:00+00:00,122.75257675
114,2019-01-05 14:00:00+00:00,130.02660175
115,2019-01-05 15:00:00+00:00,136.00390125
116,2019-01-05 16:00:00+00:00,138.940077
117,2019-01-05 17:00:00+00:00,141.35055
118,2019-01-05 18:00:00+00:00,143.1440085
119,2019-01-05 19:00:00+00:00,142.05020875
120,2019-01-05 20:00:00+00:00,142.67658075
121,2019-01-05 21:00:00+00:00,138.49988175
122,2019-01-05 22:00:00+00:00,122.490646
123,2019-01-05 23:00:00+00:00,118.86575875
124,2019-01-06 00:00:00+00:00,110.6272
125,2019-01-06 01:00:00+00:00,112.75722075
126,2019-01-06 02:00:00+00:00,112.5796185
127,2019-01-06 03:00:00+00:00,110.51049975
128,2019-01-06 04:00:00+00:00,112.46425425
129,2019-01-06 05:00:00+00:00,112.27334225
130,2019-01-06 06:00:00+00:00,105.29677025
131,2019-01-06 07:00:00+00:00,102.74818225
132,2019-01-06 08:00:00+00:00,103.4632625
133,2019-01-06 09:00:00+00:00,108.45498275
134,2019-01-06 10:00:00+00:00,115.6887985
135,2019-01-06 11:00:00+00:00,125.66384875
136,2019-01-06 12:00:00+00:00,119.65771675
137,2019-01-06 13:00:00+00:00,121.690632
138,2019-01-06 14:00:00+00:00,120.48708525
139,2019-01-06 15:00:00+00:00,120.26665125
140,2019-01-06 16:00:00+00:00,123.6039925
141,2019-01-06 17:00:00+00:00,127.6503545
142,2019-01-06 18:00:00+00:00,132.02781375
143,2019-01-06 19:00:00+00:00,130.25291075
144,2019-01-06 20:00:00+00:00,122.24177775
145,2019-01-06 21:00:00+00:00,114.11621275
146,2019-01-06 22:00:00+00:00,111.15249225
147,2019-01-06 23:00:00+00:00,112.2337495
148,2019-01-07 00:00:00+00:00,106.34416975
149,2019-01-07 01:00:00+00:00,96.5351605
150,2019-01-07 02:00:00+00:00,94.319705
151,2019-01-07 03:00:00+00:00,95.257638525
152,2019-01-07 04:00:00+00:00,95.302727575
153,2019-01-07 05:00:00+00:00,112.736972575
154,2019-01-07 06:00:00+00:00,134.3544775
155,2019-01-07 07:00:00+00:00,145.03934925
156,2019-01-07 08:00:00+00:00,143.858894
157,2019-01-07 09:00:00+00:00,144.16846975
158,2019-01-07 10:00:00+00:00,144.7520195
159,2019-01-07 11:00:00+00:00,145.20735175
160,2019-01-07 12:00:00+00:00,144.769844
161,2019-01-07 13:00:00+00:00,146.138241
162,2019-01-07 14:00:00+00:00,144.95417
163,2019-01-07 15:00:00+00:00,146.5293885
164,2019-01-07 16:00:00+00:00,144.48849575
165,2019-01-07 17:00:00+00:00,142.7636285
166,2019-01-07 18:00:00+00:00,122.27286925
167,2019-01-07 19:00:00+00:00,117.25032475
168,2019-01-07 20:00:00+00:00,116.030236
169,2019-01-07 21:00:00+00:00,110.16981875
170,2019-01-07 22:00:00+00:00,104.196211
171,2019-01-07 23:00:00+00:00,104.848673
172,2019-01-08 00:00:00+00:00,106.744655
173,2019-01-08 01:00:00+00:00,122.30916225
174,2019-01-08 02:00:00+00:00,126.879526
175,2019-01-08 03:00:00+00:00,129.672024
176,2019-01-08 04:00:00+00:00,129.49283425
177,2019-01-08 05:00:00+00:00,131.949467
178,2019-01-08 06:00:00+00:00,136.68987275
179,2019-01-08 07:00:00+00:00,136.27784375
180,2019-01-08 08:00:00+00:00,135.9468155
181,2019-01-08 09:00:00+00:00,110.89747025
182,2019-01-08 10:00:00+00:00,110.289116
183,2019-01-08 11:00:00+00:00,127.39392925
184,2019-01-08 12:00:00+00:00,141.31974025
185,2019-01-08 13:00:00+00:00,146.57084675
186,2019-01-08 14:00:00+00:00,145.83095925
187,2019-01-08 15:00:00+00:00,144.951023
188,2019-01-08 16:00:00+00:00,148.61893775
189,2019-01-08 17:00:00+00:00,147.381179
190,2019-01-08 18:00:00+00:00,147.554385
191,2019-01-08 19:00:00+00:00,146.8741875
192,2019-01-08 20:00:00+00:00,126.22065375
193,2019-01-08 21:00:00+00:00,117.433548
194,2019-01-08 22:00:00+00:00,117.9785855
195,2019-01-08 23:00:00+00:00,118.8392755
196,2019-01-09 00:00:00+00:00,119.098837
197,2019-01-09 01:00:00+00:00,143.93729975
198,2019-01-09 02:00:00+00:00,145.12560275
199,2019-01-09 03:00:00+00:00,145.28720875
200,2019-01-09 04:00:00+00:00,145.64192975
201,2019-01-09 05:00:00+00:00,145.7775535
202,2019-01-09 06:00:00+00:00,147.37091475
203,2019-01-09 07:00:00+00:00,145.05001975
204,2019-01-09 08:00:00+00:00,147.5928125
205,2019-01-09 09:00:00+00:00,144.88498725
206,2019-01-09 10:00:00+00:00,143.12261575
207,2019-01-09 11:00:00+00:00,143.52795475
208,2019-01-09 12:00:00+00:00,145.68997675
209,2019-01-09 13:00:00+00:00,145.76148475
210,2019-01-09 14:00:00+00:00,145.88737875
211,2019-01-09 15:00:00+00:00,146.2519225
212,2019-01-09 16:00:00+00:00,146.916051
213,2019-01-09 17:00:00+00:00,145.977772
214,2019-01-09 18:00:00+00:00,146.368385
215,2019-01-09 19:00:00+00:00,145.85001375
216,2019-01-09 20:00:00+00:00,145.5424575
217,2019-01-09 21:00:00+00:00,146.71355825
218,2019-01-09 22:00:00+00:00,145.38048925
219,2019-01-09 23:00:00+00:00,145.99259175
220,2019-01-10 00:00:00+00:00,145.2716255
221,2019-01-10 01:00:00+00:00,168.27590875
222,2019-01-10 02:00:00+00:00,176.12052325
223,2019-01-10 03:00:00+00:00,174.884899
224,2019-01-10 04:00:00+00:00,188.40000725
225,2019-01-10 05:00:00+00:00,209.117714
226,2019-01-10 06:00:00+00:00,208.35333125
227,2019-01-10 07:00:00+00:00,208.9796255
228,2019-01-10 08:00:00+00:00,200.13396925
229,2019-01-10 09:00:00+00:00,168.133307
230,2019-01-10 10:00:00+00:00,138.7918585
231,2019-01-10 11:00:00+00:00,119.817522
232,2019-01-10 12:00:00+00:00,118.1561675
233,2019-01-10 13:00:00+00:00,121.1132355
234,2019-01-10 14:00:00+00:00,131.9096865
235,2019-01-10 15:00:00+00:00,145.55699975
236,2019-01-10 16:00:00+00:00,138.243904
237,2019-01-10 17:00:00+00:00,108.3587685
238,2019-01-10 18:00:00+00:00,108.968855
239,2019-01-10 19:00:00+00:00,112.16204625
240,2019-01-10 20:00:00+00:00,110.77423475
241,2019-01-10 21:00:00+00:00,100.844379
242,2019-01-10 22:00:00+00:00,127.63583525
243,2019-01-10 23:00:00+00:00,115.43212725
244,2019-01-11 00:00:00+00:00,101.72725675
245,2019-01-11 01:00:00+00:00,98.85835975
246,2019-01-11 02:00:00+00:00,97.334059
247,2019-01-11 03:00:00+00:00,97.452812175
248,2019-01-11 04:00:00+00:00,99.296923975
249,2019-01-11 05:00:00+00:00,102.471322975
250,2019-01-11 06:00:00+00:00,121.85234225
251,2019-01-11 07:00:00+00:00,126.3836205
252,2019-01-11 08:00:00+00:00,140.41762725
253,2019-01-11 09:00:00+00:00,146.77129375
254,2019-01-11 10:00:00+00:00,148.384994
255,2019-01-11 11:00:00+00:00,147.4939825
256,2019-01-11 12:00:00+00:00,119.6511195
257,2019-01-11 13:00:00+00:00,105.107249
258,2019-01-11 14:00:00+00:00,112.2002295
259,2019-01-11 15:00:00+00:00,146.594612
260,2019-01-11 16:00:00+00:00,148.6711695
261,2019-01-11 17:00:00+00:00,148.10152425
262,2019-01-11 18:00:00+00:00,147.426747
263,2019-01-11 19:00:00+00:00,147.1262755
264,2019-01-11 20:00:00+00:00,149.5961915
265,2019-01-11 21:00:00+00:00,146.75823975
266,2019-01-11 22:00:00+00:00,147.06802375
267,2019-01-11 23:00:00+00:00,160.77045075
268,2019-01-12 00:00:00+00:00,165.7342225
269,2019-01-12 01:00:00+00:00,164.33522125
270,2019-01-12 02:00:00+00:00,156.41618725
271,2019-01-12 03:00:00+00:00,139.4174125
272,2019-01-12 04:00:00+00:00,113.620632
273,2019-01-12 05:00:00+00:00,113.2252045
274,2019-01-12 06:00:00+00:00,119.8280125
275,2019-01-12 07:00:00+00:00,148.96511825
276,2019-01-12 08:00:00+00:00,154.97260225
277,2019-01-12 09:00:00+00:00,155.445534
278,2019-01-12 10:00:00+00:00,129.13688975
279,2019-01-12 11:00:00+00:00,125.52214075
280,2019-01-12 12:00:00+00:00,137.36822325
281,2019-01-12 13:00:00+00:00,149.15673075
282,2019-01-12 14:00:00+00:00,148.9348565
283,2019-01-12 15:00:00+00:00,146.4939015
284,2019-01-12 16:00:00+00:00,145.65417225
285,2019-01-12 17:00:00+00:00,146.67430875
286,2019-01-12 18:00:00+00:00,150.3869035
287,2019-01-12 19:00:00+00:00,151.64239575
288,2019-01-12 20:00:00+00:00,166.53699725
289,2019-01-12 21:00:00+00:00,181.4936865
290,2019-01-12 22:00:00+00:00,178.2884505
291,2019-01-12 23:00:00+00:00,148.671444
292,2019-01-13 00:00:00+00:00,147.693093
293,2019-01-13 01:00:00+00:00,147.850498
294,2019-01-13 02:00:00+00:00,147.3042205
295,2019-01-13 03:00:00+00:00,146.8390505
296,2019-01-13 04:00:00+00:00,145.15639875
297,2019-01-13 05:00:00+00:00,144.92839825
298,2019-01-13 06:00:00+00:00,145.237514
299,2019-01-13 07:00:00+00:00,123.04546375
300,2019-01-13 08:00:00+00:00,108.9350435
301,2019-01-13 09:00:00+00:00,110.50259
302,2019-01-13 10:00:00+00:00,122.751364
303,2019-01-13 11:00:00+00:00,146.9703785
304,2019-01-13 12:00:00+00:00,145.25796875
305,2019-01-13 13:00:00+00:00,147.134835
306,2019-01-13 14:00:00+00:00,149.23961225
307,2019-01-13 15:00:00+00:00,149.9245755
308,2019-01-13 16:00:00+00:00,145.92606375
309,2019-01-13 17:00:00+00:00,144.87265625
310,2019-01-13 18:00:00+00:00,146.45376175
311,2019-01-13 19:00:00+00:00,146.809574
312,2019-01-13 20:00:00+00:00,147.46655675
313,2019-01-13 21:00:00+00:00,148.9896195
314,2019-01-13 22:00:00+00:00,148.25127775
315,2019-01-13 23:00:00+00:00,175.8533975
316,2019-01-14 00:00:00+00:00,181.92712025
317,2019-01-14 01:00:00+00:00,179.60729975
318,2019-01-14 02:00:00+00:00,176.912818
319,2019-01-14 03:00:00+00:00,176.18697175
320,2019-01-14 04:00:00+00:00,174.74938575
321,2019-01-14 05:00:00+00:00,175.086792
322,2019-01-14 06:00:00+00:00,185.0867635
323,2019-01-14 07:00:00+00:00,201.8861545
324,2019-01-14 08:00:00+00:00,179.561302
325,2019-01-14 09:00:00+00:00,163.50978125
326,2019-01-14 10:00:00+00:00,143.56828875
327,2019-01-14 11:00:00+00:00,113.17308175
328,2019-01-14 12:00:00+00:00,87.7663315
329,2019-01-14 13:00:00+00:00,94.566122
330,2019-01-14 14:00:00+00:00,133.707323
331,2019-01-14 15:00:00+00:00,148.26551425
332,2019-01-14 16:00:00+00:00,145.6469765
333,2019-01-14 17:00:00+00:00,121.39500425
334,2019-01-14 18:00:00+00:00,117.09114075
335,2019-01-14 19:00:00+00:00,120.3790685
336,2019-01-14 20:00:00+00:00,117.82574275
337,2019-01-14 21:00:00+00:00,116.7165035
338,2019-01-14 22:00:00+00:00,117.09626375
339,2019-01-14 23:00:00+00:00,116.223442
340,2019-01-15 00:00:00+00:00,116.4748115
341,2019-01-15 01:00:00+00:00,117.5345495
342,2019-01-15 02:00:00+00:00,131.174845
343,2019-01-15 03:00:00+00:00,144.2708775
344,2019-01-15 04:00:00+00:00,144.58822625
345,2019-01-15 05:00:00+00:00,147.54173275
346,2019-01-15 06:00:00+00:00,145.488285
347,2019-01-15 07:00:00+00:00,146.37374875
348,2019-01-15 08:00:00+00:00,152.0224955
349,2019-01-15 09:00:00+00:00,175.10008225
350,2019-01-15 10:00:00+00:00,151.12443925
351,2019-01-15 11:00:00+00:00,144.61136775
352,2019-01-15 12:00:00+00:00,145.12461475
353,2019-01-15 13:00:00+00:00,146.456356
354,2019-01-15 14:00:00+00:00,144.378109
355,2019-01-15 15:00:00+00:00,148.1758955
356,2019-01-15 16:00:00+00:00,149.336558
357,2019-01-15 17:00:00+00:00,147.1144175
358,2019-01-15 18:00:00+00:00,160.16519525
359,2019-01-15 19:00:00+00:00,169.51835625
360,2019-01-15 20:00:00+00:00,147.515011
361,2019-01-15 21:00:00+00:00,149.592575
362,2019-01-15 22:00:00+00:00,146.7641305
363,2019-01-15 23:00:00+00:00,153.35910825
364,2019-01-16 00:00:00+00:00,177.45012675
365,2019-01-16 01:00:00+00:00,178.535329
366,2019-01-16 02:00:00+00:00,183.2606505
367,2019-01-16 03:00:00+00:00,181.02741475
368,2019-01-16 04:00:00+00:00,189.87784125
369,2019-01-16 05:00:00+00:00,211.99379175
370,2019-01-16 06:00:00+00:00,213.405563875
371,2019-01-16 07:00:00+00:00,204.722985125
372,2019-01-16 08:00:00+00:00,179.032506285714
373,2019-01-16 09:00:00+00:00,166.27035925
374,2019-01-16 10:00:00+00:00,151.70126275
375,2019-01-16 11:00:00+00:00,146.05635075
376,2019-01-16 12:00:00+00:00,148.60925675
377,2019-01-16 13:00:00+00:00,147.65365625
378,2019-01-16 14:00:00+00:00,122.53021075
379,2019-01-16 15:00:00+00:00,129.32019625
380,2019-01-16 16:00:00+00:00,152.10176075
381,2019-01-16 17:00:00+00:00,142.02239825
382,2019-01-16 18:00:00+00:00,112.41857725
383,2019-01-16 19:00:00+00:00,108.90365025
384,2019-01-16 20:00:00+00:00,111.23945625
385,2019-01-16 21:00:00+00:00,114.46688825
386,2019-01-16 22:00:00+00:00,112.1969585
387,2019-01-16 23:00:00+00:00,111.0539875
388,2019-01-17 00:00:00+00:00,144.73976925
389,2019-01-17 01:00:00+00:00,147.633321
390,2019-01-17 02:00:00+00:00,182.5633125
391,2019-01-17 03:00:00+00:00,206.198905
392,2019-01-17 04:00:00+00:00,194.42954275
393,2019-01-17 05:00:00+00:00,162.0898895
394,2019-01-17 06:00:00+00:00,143.5123595
395,2019-01-17 07:00:00+00:00,123.7080305
396,2019-01-17 08:00:00+00:00,113.06572325
397,2019-01-17 09:00:00+00:00,105.496252
398,2019-01-17 10:00:00+00:00,104.67911125
399,2019-01-17 11:00:00+00:00,104.77975975
400,2019-01-17 12:00:00+00:00,98.78013525
401,2019-01-17 13:00:00+00:00,147.85788775
402,2019-01-17 14:00:00+00:00,153.2229135
403,2019-01-17 15:00:00+00:00,176.46732275
404,2019-01-17 16:00:00+00:00,200.64136775
405,2019-01-17 17:00:00+00:00,225.275978
406,2019-01-17 18:00:00+00:00,226.15186325
407,2019-01-17 19:00:00+00:00,209.21584725
408,2019-01-17 20:00:00+00:00,160.2311745
409,2019-01-17 21:00:00+00:00,163.0361405
410,2019-01-17 22:00:00+00:00,160.80318075
411,2019-01-17 23:00:00+00:00,157.9591445
